1;02/01/2017;3
2;20/02/2017;5
3;25/01/2017;4
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
5;20/02/2017;6
20;29/03/2017;4
22;29/03/2017;4
22;29/03/2017;4
30;20/02/2017;5
